epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.106,0.87212,1.80284,1.02061,0.87961,0.89501,0.94318,0.80347,0.5737,0.66561,0.89807,0.00333161,0.00333161,0.00333161
2,435.559,0.69235,0.84556,0.94326,0.93423,0.91595,0.96244,0.83158,0.54091,0.56875,0.89352,0.00653298,0.00653298,0.00653298
3,626.498,0.69911,0.76226,0.9516,0.93794,0.92177,0.96883,0.83912,0.54661,0.48133,0.90499,0.00960235,0.00960235,0.00960235
4,817.94,0.67052,0.65631,0.95331,0.94911,0.92774,0.97083,0.85636,0.5033,0.4321,0.89245,0.009406,0.009406,0.009406
5,1016.76,0.62423,0.56505,0.93803,0.94791,0.94396,0.97829,0.87791,0.4677,0.37104,0.87614,0.009208,0.009208,0.009208
6,1203.87,0.59484,0.52349,0.93049,0.95273,0.94156,0.97786,0.87947,0.46007,0.35672,0.87285,0.00901,0.00901,0.00901
7,1389.92,0.57501,0.48901,0.92072,0.95438,0.94593,0.97689,0.883,0.44523,0.33286,0.87398,0.008812,0.008812,0.008812
8,1576.29,0.5581,0.46965,0.91697,0.95807,0.9497,0.98117,0.89714,0.42897,0.31094,0.87267,0.008614,0.008614,0.008614
9,1763.1,0.5463,0.4508,0.91468,0.96027,0.94975,0.98102,0.89847,0.41878,0.30229,0.85799,0.008416,0.008416,0.008416
10,1948.62,0.53753,0.4389,0.90852,0.95683,0.95376,0.98092,0.89977,0.41494,0.29794,0.84966,0.008218,0.008218,0.008218
11,2133.83,0.53007,0.42771,0.90553,0.96176,0.95076,0.98425,0.90756,0.40584,0.28284,0.85606,0.00802,0.00802,0.00802
12,2318.33,0.52404,0.42153,0.90419,0.96156,0.95294,0.98586,0.91145,0.40124,0.27426,0.85403,0.007822,0.007822,0.007822
13,2504.38,0.5177,0.41306,0.90019,0.96332,0.95406,0.98597,0.91449,0.39379,0.2681,0.84937,0.007624,0.007624,0.007624
14,2691.82,0.50873,0.40001,0.8973,0.96349,0.95471,0.98589,0.91572,0.38933,0.26337,0.84677,0.007426,0.007426,0.007426
15,2878.71,0.50528,0.39788,0.89707,0.96479,0.9543,0.98611,0.91716,0.3883,0.25896,0.85059,0.007228,0.007228,0.007228
16,3067.71,0.50125,0.39248,0.89525,0.96512,0.95771,0.98777,0.92011,0.38251,0.25283,0.84646,0.00703,0.00703,0.00703
17,3256.58,0.49766,0.3857,0.89571,0.96559,0.95736,0.98714,0.92082,0.37935,0.2497,0.84463,0.006832,0.006832,0.006832
18,3447.1,0.49133,0.37882,0.89228,0.96563,0.95996,0.98754,0.92318,0.3753,0.24553,0.84309,0.006634,0.006634,0.006634
19,3637.08,0.48797,0.37656,0.89333,0.96584,0.95912,0.98774,0.92344,0.37485,0.24382,0.84366,0.006436,0.006436,0.006436
20,3827.65,0.48073,0.36999,0.89007,0.96935,0.9565,0.98786,0.92559,0.37163,0.23996,0.84224,0.006238,0.006238,0.006238
